"meetingName","barrierNumber","raceDistance","n_races","n_wins","expected_wins","win_perc","wins_above_exp"
"ANGLE PARK",1,"342",602,143,127.95324240865,0.237541528239203,15.0467575913499
"ANGLE PARK",2,"342",599,94,97.7703642154744,0.156928213689482,-3.77036421547436
"ANGLE PARK",3,"342",189,27,23.8171060669459,0.142857142857143,3.18289393305405
"ANGLE PARK",4,"342",596,96,93.9107522651451,0.161073825503356,2.08924773485492
"ANGLE PARK",5,"342",580,93,81.8106623265663,0.160344827586207,11.1893376734337
"ANGLE PARK",6,"342",203,18,23.2703118305342,0.0886699507389163,-5.27031183053419
"ANGLE PARK",7,"342",590,63,75.0698394016638,0.106779661016949,-12.0698394016638
"ANGLE PARK",8,"342",599,74,84.1420676441915,0.123539232053422,-10.1420676441915
"ANGLE PARK",9,"342",1,1,0.255653840828707,1,0.744346159171293
"ANGLE PARK",1,"388",185,44,44.6809898355884,0.237837837837838,-0.680989835588448
"ANGLE PARK",2,"388",183,37,32.5066879822751,0.202185792349727,4.49331201772486
"ANGLE PARK",3,"388",38,6,4.36315307478776,0.157894736842105,1.63684692521224
"ANGLE PARK",4,"388",182,25,29.1561963565423,0.137362637362637,-4.15619635654229
"ANGLE PARK",5,"388",174,22,22.588115302527,0.126436781609195,-0.588115302527033
"ANGLE PARK",6,"388",44,9,5.60806372657072,0.204545454545455,3.39193627342928
"ANGLE PARK",7,"388",176,20,21.2931885765095,0.113636363636364,-1.29318857650945
"ANGLE PARK",8,"388",185,25,28.8036051451992,0.135135135135135,-3.80360514519916
"ANGLE PARK",1,"515",197,44,42.4164951661644,0.223350253807107,1.5835048338356
"ANGLE PARK",2,"515",197,38,35.7782173325915,0.192893401015228,2.22178266740849
"ANGLE PARK",3,"515",92,14,12.5176950906448,0.152173913043478,1.48230490935521
"ANGLE PARK",4,"515",190,25,27.9547714892628,0.131578947368421,-2.95477148926278
"ANGLE PARK",5,"515",162,30,21.9062199465941,0.185185185185185,8.09378005340588
"ANGLE PARK",6,"515",100,10,13.2179597648296,0.1,-3.21795976482959
"ANGLE PARK",7,"515",187,18,24.0074432807626,0.0962566844919786,-6.00744328076259
